year;week_number;store_id;department_id;uto_value;bests_value;tc_percent_value;twenty_eighty_percent_value;turnover_value;gold_value;uto_rating;bests_rating;tc_percent_rating;twenty_eighty_percent_rating
2025;1;7;1;6.23;1.6;15.8;44.2;54.9;63;9;1;3;10
2025;2;7;1;3.65;2.5;15.6;42.7;56.8;100;7;3;2;9
2025;3;7;1;2.03;4.1;15.6;40.5;55.2;79;1;4;4;11
2025;4;7;1;2.81;4.1;9.1;43.5;54.6;88;2;6;3;6
2025;5;7;1;6.22;3.4;8.5;50.4;55.8;80;10;7;3;4
2025;6;7;1;4.73;2.6;13.5;39.3;60;74;10;3;3;6
2025;7;7;1;4.73;1.7;7.57;49;50.4;68;7;3;3;1
2025;8;7;1;2.99;0;9.6;42.51;54.4;69;5;1;3;7
2025;9;7;1;3.07;0;9.54;42.14;54.4;91;5;1;3;6
2025;10;7;1;3.27;1.6;0;47.46;57.6;91;8;5;1;9
2025;11;7;1;3.76;0.8;9.72;40.82;57.5;69;8;1;3;7
2025;12;7;1;2.43;0.8;9.54;42.7;55.3;76;3;1;3;6
2025;13;7;1;2.78;0;10.47;42.5;53.3;52;3;1;3;7
2025;14;7;1;2.55;0.8;9.88;42.93;51;66;4;1;3;10
2025;15;7;1;1.84;0.8;4.48;49.65;47.1;83;4;2;3;7
2025;16;7;1;5.51;0.8;3.41;50.57;48.7;71;8;2;2;8
2025;17;7;1;4.6;1.6;5.91;50.33;49.8;84;4;5;3;8
2025;18;7;1;1.95;0.8;5.31;52.67;48.9;80;5;2;3;8
2025;19;7;1;1.96;1.7;4.96;51.72;46;65;5;4;3;8
2025;20;7;1;1.49;1.7;5.45;51.64;46.4;79;1;3;3;7
2025;21;7;1;1.69;0.8;4.91;52.12;44.4;63;2;2;3;5
2025;22;7;1;1.83;1.7;5.01;51.16;43.3;76;4;1;3;5
2025;23;7;1;3.21;0.8;4.88;51.6;41;75;8;3;3;6
2025;24;7;1;3.45;0.8;5.29;50.94;40.1;78;10;3;3;9
2025;25;7;1;1.85;1.6;4.77;49.47;39.1;95;4;5;3;11
2025;26;7;1;1.46;3.9;4.73;51.09;41.9;86;3;13;3;6
2025;27;7;1;2.13;3.8;4.49;51.61;42.9;87;9;11;3;7
